subject,window,window_index,window_sec,status,status_name,phase,t_start,t_end,major_ratio,stress_ratio,rest_ratio,covered_ratio,n_peaks,ibi_pass_ratio,valid_ibi_count,ibi_mean_sec_raw,ibi_mean_sec,ibi_std_sec,RMSSD,SDNN,LF,HF,LF_HF
f01,window1,1,60,1,stress,TMCT,2013-06-12 16:25:46,2013-06-12 16:26:46,1.0,1.0,0.0,1.0,69,1.0,56,0.8619025735294118,0.8950892857142857,0.1181771561781165,0.17573152705838735,0.1181771561781165,0.0013555685676485034,0.003111824528728168,0.43561857525512115
f01,window2,2,60,1,stress,TMCT,2013-06-12 16:26:16,2013-06-12 16:27:16,1.0,1.0,0.0,1.0,76,1.0,58,0.7883333333333333,0.7739762931034483,0.11490102435154692,0.18791073433667213,0.11490102435154692,0.0008046459470304104,0.0015970353072725706,0.5038372936191317
f01,window3,3,60,1,stress,TMCT,2013-06-12 16:26:46,2013-06-12 16:27:46,1.0,1.0,0.0,1.0,78,1.0,66,0.7583198051948052,0.7452651515151515,0.09855766538831581,0.15937971335413473,0.09855766538831581,0.000949212383508008,0.0011668843359008553,0.8134588444665334
f01,window4,4,60,1,stress,TMCT,2013-06-12 16:27:16,2013-06-12 16:28:16,1.0,1.0,0.0,1.0,74,1.0,67,0.806720890410959,0.8022388059701493,0.1065073238918533,0.1417385415375683,0.1065073238918533,0.0023724114894707075,0.0018263847150496967,1.2989659133268388
f01,window5,5,60,1,stress,TMCT,2013-06-12 16:27:46,2013-06-12 16:28:46,1.0,1.0,0.0,1.0,72,1.0,65,0.8411091549295775,0.8451923076923077,0.1023948172256514,0.1457926375509494,0.1023948172256514,0.0013179940327729743,0.0020000869254961588,0.658968375809977
f01,window6,6,60,1,stress,TMCT,2013-06-12 16:28:16,2013-06-12 16:29:16,1.0,1.0,0.0,1.0,70,1.0,63,0.8625452898550725,0.8777281746031746,0.10769830486537045,0.17685464162445075,0.10769830486537045,0.0008313763932217975,0.0022380327346276574,0.3714764222875024
f01,window7,7,60,1,stress,TMCT,2013-06-12 16:28:46,2013-06-12 16:29:46,1.0,1.0,0.0,1.0,71,1.0,63,0.8459821428571429,0.8861607142857143,0.11168647973786187,0.18614048455378898,0.11168647973786187,0.0007765843447842462,0.002597839957312234,0.2989346370619815
f01,window8,8,60,1,stress,TMCT,2013-06-12 16:29:16,2013-06-12 16:30:16,1.0,1.0,0.0,1.0,68,1.0,61,0.8768656716417911,0.9108606557377049,0.10299934370901613,0.1522001192577829,0.10299934370901613,0.00034750331915630445,0.004043709610571532,0.08593676416521631
f01,window9,9,60,1,stress,TMCT,2013-06-12 16:29:46,2013-06-12 16:30:46,1.0,1.0,0.0,1.0,66,1.0,63,0.9175480769230769,0.9298115079365079,0.10534574565443082,0.12786534468325553,0.10534574565443082,0.0037007434763635114,0.002617964769527042,1.4135955989324038
f01,window10,10,60,1,stress,TMCT,2013-06-12 16:30:16,2013-06-12 16:31:16,1.0,1.0,0.0,1.0,65,1.0,63,0.9287109375,0.9345238095238095,0.12255347443383639,0.1844830362808549,0.12255347443383639,0.0012137944170347358,0.004503866320283084,0.26950054258236605
f01,window11,11,60,1,stress,TMCT,2013-06-12 16:30:46,2013-06-12 16:31:46,1.0,1.0,0.0,1.0,67,1.0,63,0.8908617424242424,0.9119543650793651,0.12837403169907938,0.21929834785739694,0.12837403169907938,0.0007767072481501802,0.003782042073595019,0.20536716224626272
f01,window12,12,60,1,stress,TMCT,2013-06-12 16:31:16,2013-06-12 16:32:16,1.0,1.0,0.0,1.0,69,1.0,62,0.8667279411764706,0.897429435483871,0.11335712377512239,0.17688986136372736,0.11335712377512239,0.0005487994831933524,0.003963864731546014,0.13845060827272626
f01,window13,13,60,1,stress,TMCT,2013-06-12 16:31:46,2013-06-12 16:32:46,1.0,1.0,0.0,1.0,68,1.0,64,0.882695895522388,0.8935546875,0.09655136686174408,0.14428386029376203,0.09655136686174408,0.001259658181750595,0.0031353814921174688,0.4017559537547341
f01,window14,14,60,1,stress,TMCT,2013-06-12 16:32:16,2013-06-12 16:33:16,1.0,1.0,0.0,1.0,68,1.0,64,0.8859608208955224,0.894775390625,0.10284059784103035,0.14631086781125502,0.10284059784103035,0.0020019520378144486,0.0025942169094342418,0.7716980143541825
f01,window15,15,60,1,stress,TMCT,2013-06-12 16:32:46,2013-06-12 16:33:46,0.5333333333333333,0.5333333333333333,0.4666666666666667,1.0,74,1.0,54,0.811429794520548,0.8738425925925926,0.12328290585351186,0.18578470513671422,0.12328290585351186,0.004100089258190368,0.002820311309865509,1.4537718739942531
f01,window16,16,60,0,normal,First Rest,2013-06-12 16:33:16,2013-06-12 16:34:16,0.9666666666666667,0.03333333333333333,0.9666666666666667,1.0,77,1.0,48,0.7804276315789473,0.8577473958333334,0.12423429145330937,0.20698812151137685,0.12423429145330937,0.0008484200635345263,0.0023821591463303415,0.35615591210247094
f01,window17,17,60,0,normal,First Rest,2013-06-12 16:33:46,2013-06-12 16:34:46,1.0,0.0,1.0,1.0,73,0.9861111111111112,50,0.8111979166666666,0.889375,0.1246416739096519,0.1924438569400946,0.1246416739096519,0.0021817586955152064,0.0032284737985425684,0.6757864030056923
f01,window18,18,60,0,normal,First Rest,2013-06-12 16:34:16,2013-06-12 16:35:16,1.0,0.0,1.0,1.0,66,0.9846153846153847,53,0.9007211538461538,0.9516509433962265,0.13830516265844137,0.19381638518418762,0.13830516265844137,0.004655948614092043,0.003920990138269196,1.1874420618020918
f01,window19,19,60,0,normal,First Rest,2013-06-12 16:34:46,2013-06-12 16:35:46,1.0,0.0,1.0,1.0,65,1.0,55,0.926513671875,0.9417613636363636,0.1329320833784016,0.14979429857833065,0.1329320833784016,0.001806467920172061,0.0021548222302277837,0.8383373323474119
f01,window20,20,60,0,normal,First Rest,2013-06-12 16:35:16,2013-06-12 16:36:16,1.0,0.0,1.0,1.0,64,1.0,60,0.935515873015873,0.9588541666666667,0.13159573346416753,0.17193517821689247,0.13159573346416753,0.0029767453551355805,0.0029764669442004965,1.0000935373851965
f01,window21,21,60,0,normal,First Rest,2013-06-12 16:35:46,2013-06-12 16:36:46,1.0,0.0,1.0,1.0,61,1.0,60,0.99453125,0.99453125,0.1069608953684515,0.15861556766309146,0.1069608953684515,0.0024042294760773628,0.0027809583975696795,0.8645327014522959
f01,window22,22,60,0,normal,First Rest,2013-06-12 16:36:16,2013-06-12 16:37:16,1.0,0.0,1.0,1.0,60,1.0,59,1.008209745762712,1.008209745762712,0.08901142102220923,0.10465492609540404,0.08901142102220923,0.0007941401827552175,0.0024197704934606854,0.32818822483427396
f01,window23,23,60,0,normal,First Rest,2013-06-12 16:36:46,2013-06-12 16:37:46,1.0,0.0,1.0,1.0,63,1.0,57,0.9478326612903226,0.9810855263157895,0.1177567257872944,0.16341016143243664,0.1177567257872944,0.002617878296888669,0.004101599835066848,0.6382578511211596
f01,window24,24,60,0,normal,First Rest,2013-06-12 16:37:16,2013-06-12 16:38:16,1.0,0.0,1.0,1.0,65,1.0,58,0.923095703125,0.9482758620689655,0.1093444729778719,0.16142738101730222,0.1093444729778719,0.0007559506191063536,0.002964450149496026,0.25500534027697164
f01,window25,25,60,0,normal,First Rest,2013-06-12 16:37:46,2013-06-12 16:38:46,1.0,0.0,1.0,1.0,70,1.0,60,0.8539402173913043,0.9046875,0.12295528171690442,0.15355191697802772,0.12295528171690442,0.0020432231770647303,0.0022651225766882176,0.9020364717092171
f01,window26,26,60,0,normal,First Rest,2013-06-12 16:38:16,2013-06-12 16:39:16,1.0,0.0,1.0,1.0,72,1.0,63,0.8316461267605634,0.8732638888888888,0.1261145472313508,0.14712519441843158,0.1261145472313508,0.0015466172185942591,0.004386427616213603,0.35259152866844995
f01,window27,27,60,0,normal,First Rest,2013-06-12 16:38:46,2013-06-12 16:39:46,1.0,0.0,1.0,1.0,64,1.0,62,0.9419642857142857,0.9473286290322581,0.11056502209023429,0.15430396752997572,0.11056502209023429,0.00031127705590444334,0.0025965786830960164,0.11987969320201529
f01,window28,28,60,0,normal,First Rest,2013-06-12 16:39:16,2013-06-12 16:40:16,1.0,0.0,1.0,1.0,64,1.0,61,0.9432043650793651,0.9577356557377049,0.1117942436766855,0.1735828970129738,0.1117942436766855,0.0008764419027933101,0.0024696208172596446,0.3548892593826743
f01,window29,29,60,0,normal,First Rest,2013-06-12 16:39:46,2013-06-12 16:40:46,1.0,0.0,1.0,1.0,70,1.0,59,0.8519021739130435,0.916843220338983,0.13851825507107177,0.1838042744732972,0.13851825507107177,0.0038512473037282295,0.006973726801675671,0.5522509575228612
f01,window30,30,60,0,normal,First Rest,2013-06-12 16:40:16,2013-06-12 16:41:16,1.0,0.0,1.0,1.0,68,1.0,58,0.8878264925373134,0.9498922413793104,0.11802889825557339,0.15498390550283692,0.11802889825557339,0.000551374425510387,0.0029411272980578444,0.18747043892812248
f01,window31,31,60,0,normal,First Rest,2013-06-12 16:40:46,2013-06-12 16:41:46,1.0,0.0,1.0,1.0,63,1.0,57,0.9556451612903226,0.9788925438596491,0.09918852618776382,0.15974058647231096,0.09918852618776382,0.001309413744508733,0.00453142243076661,0.2889630716435349
f01,window32,32,60,0,normal,First Rest,2013-06-12 16:41:16,2013-06-12 16:42:16,1.0,0.0,1.0,1.0,65,1.0,59,0.9228515625,0.942531779661017,0.11757758796354147,0.16514294275247815,0.11757758796354147,0.0009310180716018639,0.0016768807231488984,0.5552082856874695
f01,window33,33,60,0,normal,First Rest,2013-06-12 16:41:46,2013-06-12 16:42:46,1.0,0.0,1.0,1.0,65,1.0,64,0.9169921875,0.9169921875,0.09503814734454578,0.13553108719123483,0.09503814734454578,0.002768947381913768,0.002077523956112583,1.3328112890187611
f01,window34,34,60,0,normal,First Rest,2013-06-12 16:42:16,2013-06-12 16:43:16,1.0,0.0,1.0,1.0,65,1.0,64,0.913330078125,0.913330078125,0.08459217238320293,0.11870299821703867,0.08459217238320293,0.0007670597186733277,0.0018538284462648606,0.41377060548338146
f01,window35,35,60,0,normal,First Rest,2013-06-12 16:42:46,2013-06-12 16:43:46,1.0,0.0,1.0,1.0,65,1.0,64,0.931396484375,0.931396484375,0.09054655428838668,0.13585950941911712,0.09054655428838668,0.0012270686867650888,0.0019808875584223493,0.6194539824069423
f01,window36,36,60,0,normal,First Rest,2013-06-12 16:43:16,2013-06-12 16:44:16,1.0,0.0,1.0,1.0,63,1.0,62,0.9564012096774194,0.9564012096774194,0.09206042605217318,0.153132318326288,0.09206042605217318,0.0005501223101957168,0.0024615686462407557,0.2234844480310754
f01,window37,37,60,0,normal,First Rest,2013-06-12 16:43:46,2013-06-12 16:44:46,1.0,0.0,1.0,1.0,65,1.0,60,0.91943359375,0.9447916666666667,0.0963809084512534,0.12734492792166038,0.0963809084512534,0.0015408125391302469,0.0019307106539247307,0.7980546106160948
f01,window38,38,60,0,normal,First Rest,2013-06-12 16:44:16,2013-06-12 16:45:16,1.0,0.0,1.0,1.0,69,1.0,63,0.8704044117647058,0.8988095238095238,0.08912435816779193,0.10980617775602199,0.08912435816779193,0.0032995489621769525,0.001315448030968492,2.5083081083390852
f01,window39,39,60,0,normal,First Rest,2013-06-12 16:44:46,2013-06-12 16:45:46,1.0,0.0,1.0,1.0,72,1.0,61,0.8327464788732394,0.8575819672131147,0.08942814648551647,0.11779357164477752,0.08942814648551647,0.001893675285308715,0.0013276800073980838,1.4263039849638457
f01,window40,40,60,0,normal,First Rest,2013-06-12 16:45:16,2013-06-12 16:46:16,1.0,0.0,1.0,1.0,81,1.0,56,0.7337890625,0.7580915178571429,0.11677722345086194,0.13997640832070107,0.11677722345086194,0.005491976950882326,0.0012628607801232615,4.3488380012453005
f01,window41,41,60,0,normal,First Rest,2013-06-12 16:45:46,2013-06-12 16:46:46,1.0,0.0,1.0,1.0,80,1.0,57,0.7559335443037974,0.7850877192982456,0.11744874760548384,0.16323665445341268,0.11744874760548384,0.001776400464717067,0.0015453035097484152,1.1495479389717271
f01,window42,42,60,0,normal,First Rest,2013-06-12 16:46:16,2013-06-12 16:47:16,1.0,0.0,1.0,1.0,74,1.0,66,0.807791095890411,0.8300189393939394,0.10051047322752275,0.1384853244793608,0.10051047322752275,0.0009166793543246735,0.004140710241235677,0.2213821544902685
